AU,Correlation,Corr_pValue,MI_Score,F_Score,F_pValue,Combined_Score
AU17_r,0.019670751326722434,0.7881912533519411,0.0,0.072385500334563,0.7881912533519193,1.0
AU01_r,-0.10608482885188082,0.14626456520625036,0.0651590626229881,2.128449855980627,0.14626456520625078,0.7213658411904587
AU15_r,0.022381458363654502,0.7598397384785333,0.0,0.09372079740541925,0.7598397384785524,0.6580726133747121
AU02_r,-0.08017965423755585,0.2727540939639238,0.05496808704989653,1.209959852346912,0.2727540939639266,0.4424047707238475
AU10_r,0.03872567250693766,0.5967661612569546,0.0,0.2808609328593596,0.5967661612569538,0.279955149558633
AU04_r,-0.079777441602023,0.27517482329647186,0.04321962510903821,1.1977734728891525,0.27517482329647436,0.21115212999804941
AU20_r,-0.017243746164776863,0.8138151193740488,0.0,0.05562038673871186,0.8138151193740432,0.16241068282355506
AU14_r,-0.03460800655938446,0.6363795818263959,0.0,0.22424111682014697,0.6363795818263973,0.15541123893058215
AU09_r,0.03936629208192507,0.5907045707447582,0.008841096976554441,0.2902446196006218,0.5907045707447551,0.14040814533115223
AU12_r,-0.037435919577738966,0.6090542617327902,0.0,0.26243858400424735,0.6090542617327909,0.0809660363668361
AU05_r,-0.06867606898156586,0.347738126687731,0.017525024852136806,0.8861466826781836,0.3477381266877312,0.06897811171794449
AU06_r,-0.0451777938154033,0.5370454617500832,0.015843698804994144,0.3824537819135884,0.5370454617500775,0.0586109511790126
AU25_r,-0.014131560307944137,0.8469608128664691,0.0,0.03735154553070276,0.8469608128664726,0.04582283207140225
AU26_r,0.0015765210364635726,0.9828230223928446,0.0,0.00046477442932207593,0.9828230223925342,0.0
